account_id,churn_probability,churn_probability_percent,risk_drivers,retention_protectors,risk_level,explanation
A-7f4db3,0.01601958502639168,1.6%,"long-term satisfaction is moderate; customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality","Seats; Ticket high risk; support ticket volume is elevated (5 tickets), indicating recurring issues",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: long-term satisfaction is moderate; customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality. Retention signals: Seats; Ticket high risk; support ticket volume is elevated (5 tickets), indicating recurring issues."
A-86cdb4,0.01688392861105938,1.7%,"customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; Country de; average session duration is strong (133.23 min)","Seats; customer was acquired through partner channels, where churn depends on integration quality; support ticket volume is elevated (5 tickets), indicating recurring issues",Low Risk,"Predicted churn risk is 1.7%. Key risk drivers: customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; Country de; average session duration is strong (133.23 min). Retention signals: Seats; customer was acquired through partner channels, where churn depends on integration quality; support ticket volume is elevated (5 tickets), indicating recurring issues."
A-625d0b,0.01632654303715747,1.6%,"customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality; Recent ticket count","long-term satisfaction scores are historically low, a strong churn predictor; Ticket high risk; support ticket volume is elevated (5 tickets), indicating recurring issues",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality; Recent ticket count. Retention signals: long-term satisfaction scores are historically low, a strong churn predictor; Ticket high risk; support ticket volume is elevated (5 tickets), indicating recurring issues."
A-65c341,0.015951783985651096,1.6%,"customer is currently in the trial phase, a stage characterized by high churn variability; Country us; Usage stable usage","long-term satisfaction scores are historically low, a strong churn predictor; Ticket high risk; average session duration is strong (43.00 min)",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer is currently in the trial phase, a stage characterized by high churn variability; Country us; Usage stable usage. Retention signals: long-term satisfaction scores are historically low, a strong churn predictor; Ticket high risk; average session duration is strong (43.00 min)."
A-8e47ca,0.015287937714455887,1.5%,"customer sentiment is consistently negative, a strong churn predictor; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; Country us","long-term satisfaction scores are historically low, a strong churn predictor; average session duration is strong (129.27 min); Seats",Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: customer sentiment is consistently negative, a strong churn predictor; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; Country us. Retention signals: long-term satisfaction scores are historically low, a strong churn predictor; average session duration is strong (129.27 min); Seats."
A-0f7d77,0.015403816638083488,1.5%,"customer sentiment is consistently negative, a strong churn predictor; customer was acquired organically, a cohort associated with higher retention; recent usage intensity has dropped significantly","Seats; customer was acquired through partner channels, where churn depends on integration quality; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: customer sentiment is consistently negative, a strong churn predictor; customer was acquired organically, a cohort associated with higher retention; recent usage intensity has dropped significantly. Retention signals: Seats; customer was acquired through partner channels, where churn depends on integration quality; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-158f4e,0.015354450502009351,1.5%,"customer was acquired through partner channels, where churn depends on integration quality; customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels; customer sentiment appears neutral and may indicate disengagement risk","average session duration is strong (20.90 min); Seats; support ticket volume is elevated (5 tickets), indicating recurring issues",Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: customer was acquired through partner channels, where churn depends on integration quality; customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels; customer sentiment appears neutral and may indicate disengagement risk. Retention signals: average session duration is strong (20.90 min); Seats; support ticket volume is elevated (5 tickets), indicating recurring issues."
A-104f1a,0.015840190874873948,1.6%,"Seats; customer was acquired through partner channels, where churn depends on integration quality; Recent ticket count",average session duration is strong (20.07 min); long-term satisfaction is moderate; Ticket high risk,Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: Seats; customer was acquired through partner channels, where churn depends on integration quality; Recent ticket count. Retention signals: average session duration is strong (20.07 min); long-term satisfaction is moderate; Ticket high risk."
A-118d55,0.05685890157975432,5.7%,Seats; long-term satisfaction is moderate; recent satisfaction appears stable,"Ticket high risk; average session duration is strong (39.50 min); customer was acquired organically, a cohort associated with higher retention",Low Risk,"Predicted churn risk is 5.7%. Key risk drivers: Seats; long-term satisfaction is moderate; recent satisfaction appears stable. Retention signals: Ticket high risk; average session duration is strong (39.50 min); customer was acquired organically, a cohort associated with higher retention."
A-34d880,0.01606084445751346,1.6%,recent satisfaction levels are weakening; Recent satisfaction neutral sentiment; customer sentiment appears neutral and may indicate disengagement risk,long-term satisfaction is moderate; Seats; average session duration is strong (97.72 min),Low Risk,Predicted churn risk is 1.6%. Key risk drivers: recent satisfaction levels are weakening; Recent satisfaction neutral sentiment; customer sentiment appears neutral and may indicate disengagement risk. Retention signals: long-term satisfaction is moderate; Seats; average session duration is strong (97.72 min).
A-328bd0,0.015622112592865839,1.6%,"Seats; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels","customer was acquired through partner channels, where churn depends on integration quality; average session duration is strong (34.30 min); support ticket volume is elevated (5 tickets), indicating recurring issues",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: Seats; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels. Retention signals: customer was acquired through partner channels, where churn depends on integration quality; average session duration is strong (34.30 min); support ticket volume is elevated (5 tickets), indicating recurring issues."
A-ef84cf,0.015837937787012583,1.6%,Seats; long-term satisfaction is moderate; recent satisfaction appears stable,"customer was acquired through partner channels, where churn depends on integration quality; average session duration is strong (99.17 min); short-term usage appears stable",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: Seats; long-term satisfaction is moderate; recent satisfaction appears stable. Retention signals: customer was acquired through partner channels, where churn depends on integration quality; average session duration is strong (99.17 min); short-term usage appears stable."
A-de58ca,0.01760195270865111,1.8%,"average session duration is moderate (9.00 min); Country de; customer sentiment is consistently negative, a strong churn predictor","Error sum; Ticket high risk; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.8%. Key risk drivers: average session duration is moderate (9.00 min); Country de; customer sentiment is consistently negative, a strong churn predictor. Retention signals: Error sum; Ticket high risk; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-1b7577,0.015833518849762074,1.6%,"average session duration is strong (85.40 min); customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality","long-term satisfaction is moderate; Seats; support ticket volume is elevated (5 tickets), indicating recurring issues",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: average session duration is strong (85.40 min); customer was acquired organically, a cohort associated with higher retention; customer was acquired through partner channels, where churn depends on integration quality. Retention signals: long-term satisfaction is moderate; Seats; support ticket volume is elevated (5 tickets), indicating recurring issues."
A-18793f,0.015919886448169274,1.6%,"customer is currently in the trial phase, a stage characterized by high churn variability; average session duration is strong (27.58 min); Ticket elevated","Seats; customer was acquired via event-based channels, which historically show higher churn volatility; Ticket high risk",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer is currently in the trial phase, a stage characterized by high churn variability; average session duration is strong (27.58 min); Ticket elevated. Retention signals: Seats; customer was acquired via event-based channels, which historically show higher churn volatility; Ticket high risk."
A-e888d1,0.015416172084401594,1.5%,"recent satisfaction appears stable; customer was acquired through partner channels, where churn depends on integration quality; Recent error sum",Error sum; average session duration is strong (37.65 min); Seats,Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: recent satisfaction appears stable; customer was acquired through partner channels, where churn depends on integration quality; Recent error sum. Retention signals: Error sum; average session duration is strong (37.65 min); Seats."
A-eb7c38,0.026368075207117796,2.6%,"customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; Seats; Usage stable usage","customer was acquired organically, a cohort associated with higher retention; Ticket high risk; Country us",Low Risk,"Predicted churn risk is 2.6%. Key risk drivers: customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; Seats; Usage stable usage. Retention signals: customer was acquired organically, a cohort associated with higher retention; Ticket high risk; Country us."
A-309e54,0.01627390603953906,1.6%,"customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; short-term usage appears stable; Country us","Seats; Ticket high risk; long-term satisfaction scores are historically low, a strong churn predictor",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; short-term usage appears stable; Country us. Retention signals: Seats; Ticket high risk; long-term satisfaction scores are historically low, a strong churn predictor."
A-cd458b,0.016010668245377956,1.6%,"average session duration is strong (73.83 min); customer is currently in the trial phase, a stage characterized by high churn variability; customer was acquired through partner channels, where churn depends on integration quality","long-term satisfaction is strong; short-term usage appears stable; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: average session duration is strong (73.83 min); customer is currently in the trial phase, a stage characterized by high churn variability; customer was acquired through partner channels, where churn depends on integration quality. Retention signals: long-term satisfaction is strong; short-term usage appears stable; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-d792a6,0.01541856786636517,1.5%,"customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer sentiment is consistently negative, a strong churn predictor; Country us","long-term satisfaction scores are historically low, a strong churn predictor; Error sum; Seats",Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer sentiment is consistently negative, a strong churn predictor; Country us. Retention signals: long-term satisfaction scores are historically low, a strong churn predictor; Error sum; Seats."
A-2e3bad,0.015434295257977019,1.5%,"customer sentiment is consistently negative, a strong churn predictor; Recent usage inconsistent; average session duration is strong (28.60 min)","Reason code features; Ticket high risk; long-term satisfaction scores are historically low, a strong churn predictor",Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: customer sentiment is consistently negative, a strong churn predictor; Recent usage inconsistent; average session duration is strong (28.60 min). Retention signals: Reason code features; Ticket high risk; long-term satisfaction scores are historically low, a strong churn predictor."
A-1e6fc3,0.0159089523254461,1.6%,"recent satisfaction appears stable; customer was acquired through partner channels, where churn depends on integration quality; Reason code pricing","Seats; Ticket high risk; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: recent satisfaction appears stable; customer was acquired through partner channels, where churn depends on integration quality; Reason code pricing. Retention signals: Seats; Ticket high risk; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
A-6dee43,0.015608538712936167,1.6%,"customer is currently in the trial phase, a stage characterized by high churn variability; Country uk; recent satisfaction appears stable",average session duration is strong (21.07 min); Seats; Error sum,Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer is currently in the trial phase, a stage characterized by high churn variability; Country uk; recent satisfaction appears stable. Retention signals: average session duration is strong (21.07 min); Seats; Error sum."
A-68f37c,0.015280831776095594,1.5%,"customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels; Country us","long-term satisfaction scores are historically low, a strong churn predictor; average session duration is strong (124.80 min); Seats",Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels; Country us. Retention signals: long-term satisfaction scores are historically low, a strong churn predictor; average session duration is strong (124.80 min); Seats."
A-76fa4d,0.017861087854843298,1.8%,"customer was acquired via event-based channels, which historically show higher churn volatility; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; Ticket elevated","average session duration is strong (115.20 min); Seats; support ticket volume is elevated (5 tickets), indicating recurring issues",Low Risk,"Predicted churn risk is 1.8%. Key risk drivers: customer was acquired via event-based channels, which historically show higher churn volatility; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; Ticket elevated. Retention signals: average session duration is strong (115.20 min); Seats; support ticket volume is elevated (5 tickets), indicating recurring issues."
A-779e4e,0.016946754745926777,1.7%,"customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; customer was acquired through partner channels, where churn depends on integration quality; Recent ticket count","long-term satisfaction is moderate; Ticket high risk; average session duration is low (1.33 min), reflecting weak product engagement",Low Risk,"Predicted churn risk is 1.7%. Key risk drivers: customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; customer was acquired through partner channels, where churn depends on integration quality; Recent ticket count. Retention signals: long-term satisfaction is moderate; Ticket high risk; average session duration is low (1.33 min), reflecting weak product engagement."
A-82d8a6,0.01549013378969036,1.5%,"Seats; customer sentiment is consistently negative, a strong churn predictor; short-term usage appears stable",Ticket high risk; Recent ticket count; Reason code features,Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: Seats; customer sentiment is consistently negative, a strong churn predictor; short-term usage appears stable. Retention signals: Ticket high risk; Recent ticket count; Reason code features."
A-82861f,0.018693871454377644,1.9%,"customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; Country uk; average session duration is strong (30.20 min)","long-term satisfaction is moderate; Seats; customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.9%. Key risk drivers: customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; Country uk; average session duration is strong (30.20 min). Retention signals: long-term satisfaction is moderate; Seats; customer was acquired via event-based channels, which historically show higher churn volatility."
A-67be94,0.015715341556085297,1.6%,"Seats; customer sentiment is consistently negative, a strong churn predictor; Country us","long-term satisfaction scores are historically low, a strong churn predictor; average session duration is strong (32.55 min); support ticket volume is elevated (5 tickets), indicating recurring issues",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: Seats; customer sentiment is consistently negative, a strong churn predictor; Country us. Retention signals: long-term satisfaction scores are historically low, a strong churn predictor; average session duration is strong (32.55 min); support ticket volume is elevated (5 tickets), indicating recurring issues."
A-6da850,0.01622643240054024,1.6%,"average session duration is moderate (8.98 min); Seats; customer was acquired through partner channels, where churn depends on integration quality","long-term satisfaction scores are historically low, a strong churn predictor; Ticket high risk; support ticket volume is elevated (5 tickets), indicating recurring issues",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: average session duration is moderate (8.98 min); Seats; customer was acquired through partner channels, where churn depends on integration quality. Retention signals: long-term satisfaction scores are historically low, a strong churn predictor; Ticket high risk; support ticket volume is elevated (5 tickets), indicating recurring issues."
A-7c6b6b,0.017995039804917786,1.8%,"Seats; customer was acquired through partner channels, where churn depends on integration quality; Usage engaged","Error sum; support ticket volume is elevated (5 tickets), indicating recurring issues; Ticket high risk",Low Risk,"Predicted churn risk is 1.8%. Key risk drivers: Seats; customer was acquired through partner channels, where churn depends on integration quality; Usage engaged. Retention signals: Error sum; support ticket volume is elevated (5 tickets), indicating recurring issues; Ticket high risk."
A-0aaf6e,0.015367613183137924,1.5%,"Country us; customer sentiment is consistently negative, a strong churn predictor; customer was acquired through partner channels, where churn depends on integration quality","Seats; long-term satisfaction scores are historically low, a strong churn predictor; Ticket high risk",Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: Country us; customer sentiment is consistently negative, a strong churn predictor; customer was acquired through partner channels, where churn depends on integration quality. Retention signals: Seats; long-term satisfaction scores are historically low, a strong churn predictor; Ticket high risk."
A-068fc6,0.015592495046311269,1.6%,"customer was acquired via event-based channels, which historically show higher churn volatility; long-term satisfaction is moderate; Ticket elevated","average session duration is strong (118.75 min); support ticket volume is elevated (5 tickets), indicating recurring issues; Ticket high risk",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer was acquired via event-based channels, which historically show higher churn volatility; long-term satisfaction is moderate; Ticket elevated. Retention signals: average session duration is strong (118.75 min); support ticket volume is elevated (5 tickets), indicating recurring issues; Ticket high risk."
A-0b0d6d,0.01590919624842722,1.6%,"customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; average session duration is moderate (7.47 min); customer was acquired through partner channels, where churn depends on integration quality","long-term satisfaction scores are historically low, a strong churn predictor; Seats; Ticket high risk",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; average session duration is moderate (7.47 min); customer was acquired through partner channels, where churn depends on integration quality. Retention signals: long-term satisfaction scores are historically low, a strong churn predictor; Seats; Ticket high risk."
A-f6b2fb,0.015815416659933676,1.6%,"customer was acquired via event-based channels, which historically show higher churn volatility; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels","Seats; Error sum; support ticket volume is elevated (5 tickets), indicating recurring issues",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer was acquired via event-based channels, which historically show higher churn volatility; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels. Retention signals: Seats; Error sum; support ticket volume is elevated (5 tickets), indicating recurring issues."
A-fdfc91,0.01826587999795584,1.8%,"Ticket elevated; customer was acquired organically, a cohort associated with higher retention; Country us","support ticket volume is elevated (5 tickets), indicating recurring issues; average session duration is strong (59.17 min); Ticket high risk",Low Risk,"Predicted churn risk is 1.8%. Key risk drivers: Ticket elevated; customer was acquired organically, a cohort associated with higher retention; Country us. Retention signals: support ticket volume is elevated (5 tickets), indicating recurring issues; average session duration is strong (59.17 min); Ticket high risk."
A-f9cc74,0.015643550555253915,1.6%,"Seats; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; Ticket elevated","customer was acquired through partner channels, where churn depends on integration quality; long-term satisfaction is moderate; average session duration is moderate (6.47 min)",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: Seats; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; Ticket elevated. Retention signals: customer was acquired through partner channels, where churn depends on integration quality; long-term satisfaction is moderate; average session duration is moderate (6.47 min)."
A-fd9422,0.015961317821690062,1.6%,average session duration is strong (89.48 min); Ticket elevated; Referral source other,"Seats; customer was acquired organically, a cohort associated with higher retention; long-term satisfaction is moderate",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: average session duration is strong (89.48 min); Ticket elevated; Referral source other. Retention signals: Seats; customer was acquired organically, a cohort associated with higher retention; long-term satisfaction is moderate."
A-94d3da,0.023472765531740578,2.3%,"long-term satisfaction is moderate; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; support ticket volume is elevated (6 tickets), indicating recurring issues","Seats; customer was acquired via event-based channels, which historically show higher churn volatility; Ticket high risk",Low Risk,"Predicted churn risk is 2.3%. Key risk drivers: long-term satisfaction is moderate; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; support ticket volume is elevated (6 tickets), indicating recurring issues. Retention signals: Seats; customer was acquired via event-based channels, which historically show higher churn volatility; Ticket high risk."
A-05d3b3,0.032136853671659284,3.2%,"long-term satisfaction is moderate; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; recent satisfaction appears stable",average session duration is strong (21.47 min); Ticket high risk; Country us,Low Risk,"Predicted churn risk is 3.2%. Key risk drivers: long-term satisfaction is moderate; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; recent satisfaction appears stable. Retention signals: average session duration is strong (21.47 min); Ticket high risk; Country us."
A-e7beab,0.015516171480395247,1.6%,Seats; Country de; recent usage intensity has dropped significantly,"Error sum; average session duration is strong (120.68 min); customer is currently in the trial phase, a stage characterized by high churn variability",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: Seats; Country de; recent usage intensity has dropped significantly. Retention signals: Error sum; average session duration is strong (120.68 min); customer is currently in the trial phase, a stage characterized by high churn variability."
A-378b99,0.016196278908483158,1.6%,"customer is currently in the trial phase, a stage characterized by high churn variability; Error sum; Seats","long-term satisfaction is moderate; short-term usage appears stable; support ticket volume is elevated (6 tickets), indicating recurring issues",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer is currently in the trial phase, a stage characterized by high churn variability; Error sum; Seats. Retention signals: long-term satisfaction is moderate; short-term usage appears stable; support ticket volume is elevated (6 tickets), indicating recurring issues."
A-22d9d2,0.01772927841274086,1.8%,"customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired via event-based channels, which historically show higher churn volatility; Usage stable usage","Ticket high risk; average session duration is strong (46.80 min); customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels",Low Risk,"Predicted churn risk is 1.8%. Key risk drivers: customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; customer was acquired via event-based channels, which historically show higher churn volatility; Usage stable usage. Retention signals: Ticket high risk; average session duration is strong (46.80 min); customer is on the Pro plan tier, where churn often reflects value alignment and product utilization levels."
A-dbc825,0.015612086343002774,1.6%,"recent satisfaction levels are weakening; customer sentiment is consistently negative, a strong churn predictor; Recent satisfaction neutral sentiment","long-term satisfaction scores are historically low, a strong churn predictor; customer was acquired through partner channels, where churn depends on integration quality; average session duration is strong (69.47 min)",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: recent satisfaction levels are weakening; customer sentiment is consistently negative, a strong churn predictor; Recent satisfaction neutral sentiment. Retention signals: long-term satisfaction scores are historically low, a strong churn predictor; customer was acquired through partner channels, where churn depends on integration quality; average session duration is strong (69.47 min)."
A-b9f5b1,0.01604442539715741,1.6%,"customer is currently in the trial phase, a stage characterized by high churn variability; customer was acquired through partner channels, where churn depends on integration quality; Recent ticket count",long-term satisfaction is moderate; average session duration is strong (35.75 min); Reason code features,Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer is currently in the trial phase, a stage characterized by high churn variability; customer was acquired through partner channels, where churn depends on integration quality; Recent ticket count. Retention signals: long-term satisfaction is moderate; average session duration is strong (35.75 min); Reason code features."
A-39b19f,0.01539815664257783,1.5%,"Error sum; customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels; average session duration is strong (30.50 min)","customer was acquired through partner channels, where churn depends on integration quality; long-term satisfaction is moderate; Ticket high risk",Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: Error sum; customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels; average session duration is strong (30.50 min). Retention signals: customer was acquired through partner channels, where churn depends on integration quality; long-term satisfaction is moderate; Ticket high risk."
A-a7bd4b,0.017830957818954912,1.8%,Seats; long-term satisfaction is moderate; Country us,average session duration is strong (14.93 min); Reason code features; Ticket high risk,Low Risk,Predicted churn risk is 1.8%. Key risk drivers: Seats; long-term satisfaction is moderate; Country us. Retention signals: average session duration is strong (14.93 min); Reason code features; Ticket high risk.
A-9bfc9f,0.017682914538438586,1.8%,"customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; average session duration is moderate (9.60 min); Error sum","long-term satisfaction scores are historically low, a strong churn predictor; Ticket high risk; Seats",Low Risk,"Predicted churn risk is 1.8%. Key risk drivers: customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; average session duration is moderate (9.60 min); Error sum. Retention signals: long-term satisfaction scores are historically low, a strong churn predictor; Ticket high risk; Seats."
A-712426,0.01541546890678756,1.5%,"customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; recent satisfaction appears stable; customer was acquired through partner channels, where churn depends on integration quality",average session duration is strong (19.60 min); long-term satisfaction is moderate; Reason code features,Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; recent satisfaction appears stable; customer was acquired through partner channels, where churn depends on integration quality. Retention signals: average session duration is strong (19.60 min); long-term satisfaction is moderate; Reason code features."
A-417d2f,0.01558454242317788,1.6%,"customer is currently in the trial phase, a stage characterized by high churn variability; Usage stable usage; customer sentiment appears neutral and may indicate disengagement risk",Seats; average session duration is strong (59.70 min); Recent ticket count,Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer is currently in the trial phase, a stage characterized by high churn variability; Usage stable usage; customer sentiment appears neutral and may indicate disengagement risk. Retention signals: Seats; average session duration is strong (59.70 min); Recent ticket count."
A-4437e4,0.01612657114266669,1.6%,"customer was acquired via event-based channels, which historically show higher churn volatility; average session duration is strong (23.83 min); Country us","long-term satisfaction scores are historically low, a strong churn predictor; Seats; Ticket high risk",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer was acquired via event-based channels, which historically show higher churn volatility; average session duration is strong (23.83 min); Country us. Retention signals: long-term satisfaction scores are historically low, a strong churn predictor; Seats; Ticket high risk."
A-9289f6,0.015559953109600545,1.6%,"customer was acquired via event-based channels, which historically show higher churn volatility; Country us; customer was acquired through partner channels, where churn depends on integration quality","Seats; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; Recent ticket count",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer was acquired via event-based channels, which historically show higher churn volatility; Country us; customer was acquired through partner channels, where churn depends on integration quality. Retention signals: Seats; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior; Recent ticket count."
A-8145a0,0.015350723620396514,1.5%,"customer is currently in the trial phase, a stage characterized by high churn variability; long-term satisfaction scores are historically low, a strong churn predictor; customer sentiment is consistently negative, a strong churn predictor","Seats; customer was acquired through partner channels, where churn depends on integration quality; average session duration is strong (16.20 min)",Low Risk,"Predicted churn risk is 1.5%. Key risk drivers: customer is currently in the trial phase, a stage characterized by high churn variability; long-term satisfaction scores are historically low, a strong churn predictor; customer sentiment is consistently negative, a strong churn predictor. Retention signals: Seats; customer was acquired through partner channels, where churn depends on integration quality; average session duration is strong (16.20 min)."
A-66224b,0.015902983393074464,1.6%,"customer is currently in the trial phase, a stage characterized by high churn variability; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; Ticket elevated","Seats; long-term satisfaction is moderate; customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer is currently in the trial phase, a stage characterized by high churn variability; customer belongs to the HealthTech industry segment, which exhibits distinct retention behavior; Ticket elevated. Retention signals: Seats; long-term satisfaction is moderate; customer was acquired via event-based channels, which historically show higher churn volatility."
A-cbbe12,0.016193026695589932,1.6%,"Country de; Ticket elevated; customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels","long-term satisfaction is moderate; customer was acquired through partner channels, where churn depends on integration quality; customer was acquired via event-based channels, which historically show higher churn volatility",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: Country de; Ticket elevated; customer is on the Enterprise plan tier, where churn often reflects value alignment and product utilization levels. Retention signals: long-term satisfaction is moderate; customer was acquired through partner channels, where churn depends on integration quality; customer was acquired via event-based channels, which historically show higher churn volatility."
A-883b7d,0.6211479534628642,62.1%,"Seats; long-term satisfaction is moderate; support ticket volume is elevated (7 tickets), indicating recurring issues","Referral source other; customer is currently in the trial phase, a stage characterized by high churn variability; customer sentiment is consistently negative, a strong churn predictor",Medium Risk,"Predicted churn risk is 62.1%. Key risk drivers: Seats; long-term satisfaction is moderate; support ticket volume is elevated (7 tickets), indicating recurring issues. Retention signals: Referral source other; customer is currently in the trial phase, a stage characterized by high churn variability; customer sentiment is consistently negative, a strong churn predictor."
A-8b0451,0.015726727346519746,1.6%,"customer was acquired via event-based channels, which historically show higher churn volatility; customer sentiment is consistently negative, a strong churn predictor; Ticket elevated","average session duration is strong (116.57 min); Seats; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior",Low Risk,"Predicted churn risk is 1.6%. Key risk drivers: customer was acquired via event-based channels, which historically show higher churn volatility; customer sentiment is consistently negative, a strong churn predictor; Ticket elevated. Retention signals: average session duration is strong (116.57 min); Seats; customer belongs to the DevTools industry segment, which exhibits distinct retention behavior."
