,subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,usage_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature,usage_duration_min,ticket_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag,reference_date,reference_month_int,ticket_month_int,months_before_reference
932,S-63e282,A-6a4e2d,2024-10-15,2024-11-07,Pro,14,686,8232,False,True,False,True,annual,True,U-e92179,2024-02-05,feature_26,8,3352,0,False,55.86666666666667,T-c9a926,2024-09-15,2024-09-15 15:00:00,15.0,low,126,5.0,True,2024-12-31,659,656,-3
939,S-ef2a21,A-427b69,2024-11-28,2024-12-09,Pro,36,1764,21168,False,False,False,True,annual,True,U-1314b8,2024-12-13,feature_16,6,2970,3,False,49.5,T-c9394b,2024-04-09,2024-04-09 06:00:00,6.0,medium,99,0.0,False,2024-12-31,659,651,-8
940,S-ef2a21,A-427b69,2024-11-28,2024-12-09,Pro,36,1764,21168,False,False,False,True,annual,True,U-1314b8,2024-12-13,feature_16,6,2970,3,False,49.5,T-91bbd1,2024-05-06,2024-05-08 09:00:00,57.0,urgent,120,3.0,False,2024-12-31,659,652,-7
949,S-42aaf0,A-6da850,2024-12-31,2024-12-31,Basic,6,114,1368,False,False,False,True,annual,True,U-44cc76,2023-05-31,feature_22,7,539,0,False,8.983333333333333,T-abcd41,2024-11-01,2024-11-02 12:00:00,36.0,medium,44,0.0,False,2024-12-31,659,658,-1
970,S-c4c9ce,A-625d0b,2024-11-16,2024-11-22,Enterprise,10,1990,23880,False,False,False,True,monthly,True,U-8181be,2024-11-08,feature_20,14,4046,0,False,67.43333333333334,T-b01917,2023-12-24,2023-12-26 16:00:00,64.0,high,135,0.0,False,2024-12-31,659,647,-12
971,S-c4c9ce,A-625d0b,2024-11-16,2024-11-22,Enterprise,10,1990,23880,False,False,False,True,monthly,True,U-8181be,2024-11-08,feature_20,14,4046,0,False,67.43333333333334,T-34db33,2024-11-19,2024-11-21 05:00:00,53.0,medium,21,0.0,False,2024-12-31,659,658,-1
989,S-fc1114,A-4c56c9,2024-07-17,2024-10-23,Pro,18,882,10584,False,False,False,True,annual,True,U-342dd1,2024-10-06,feature_23,10,1610,0,False,26.833333333333332,T-dfce9a,2024-09-08,2024-09-09 23:00:00,47.0,medium,126,5.0,False,2024-12-31,659,656,-3
990,S-fc1114,A-4c56c9,2024-07-17,2024-10-23,Pro,18,882,10584,False,False,False,True,annual,True,U-342dd1,2024-10-06,feature_23,10,1610,0,False,26.833333333333332,T-a2eb91,2024-01-12,2024-01-14 10:00:00,58.0,medium,136,0.0,False,2024-12-31,659,648,-11
991,S-fc1114,A-4c56c9,2024-07-17,2024-10-23,Pro,18,882,10584,False,False,False,True,annual,True,U-342dd1,2024-10-06,feature_23,10,1610,0,False,26.833333333333332,T-3171ab,2024-08-26,2024-08-26 09:00:00,9.0,low,10,4.0,False,2024-12-31,659,655,-4
992,S-fc1114,A-4c56c9,2024-07-17,2024-10-23,Pro,18,882,10584,False,False,False,True,annual,True,U-342dd1,2024-10-06,feature_23,10,1610,0,False,26.833333333333332,T-27abc5,2024-01-06,2024-01-08 02:00:00,50.0,high,61,3.0,False,2024-12-31,659,648,-11
993,S-fc1114,A-4c56c9,2024-07-17,2024-10-23,Pro,18,882,10584,False,False,False,True,annual,True,U-342dd1,2024-10-06,feature_23,10,1610,0,False,26.833333333333332,T-581c3c,2024-10-05,2024-10-06 05:00:00,29.0,high,8,3.0,False,2024-12-31,659,657,-2
1020,S-a554da,A-712f1c,2024-04-09,2024-07-23,Enterprise,17,3383,40596,False,False,False,True,annual,True,U-82dac5,2023-06-15,feature_37,14,2534,0,True,42.233333333333334,T-81a9e7,2024-02-27,2024-02-28 19:00:00,43.0,medium,108,4.0,False,2024-12-31,659,649,-10
1021,S-a554da,A-712f1c,2024-04-09,2024-07-23,Enterprise,17,3383,40596,False,False,False,True,annual,True,U-82dac5,2023-06-15,feature_37,14,2534,0,True,42.233333333333334,T-67eb6f,2024-08-09,2024-08-11 03:00:00,51.0,urgent,46,0.0,False,2024-12-31,659,655,-4
1061,S-984f8b,A-db5e9e,2024-12-28,2024-12-28,Enterprise,17,3383,40596,False,False,True,True,annual,True,U-290b7d,2023-04-27,feature_22,14,7126,3,True,118.76666666666667,T-3aa54d,2024-06-25,2024-06-27 16:00:00,64.0,low,177,5.0,False,2024-12-31,659,653,-6
1062,S-984f8b,A-db5e9e,2024-12-28,2024-12-28,Enterprise,17,3383,40596,False,False,True,True,annual,True,U-290b7d,2023-04-27,feature_22,14,7126,3,True,118.76666666666667,T-f47516,2024-01-11,2024-01-13 20:00:00,68.0,low,18,5.0,False,2024-12-31,659,648,-11
1075,S-9686c6,A-eb2fdc,2024-05-31,2024-09-25,Pro,33,1617,19404,False,False,False,True,annual,False,U-8a69a4,2024-09-28,feature_15,9,495,1,False,8.25,T-7d1efb,2023-12-18,2023-12-19 22:00:00,46.0,medium,16,0.0,False,2024-12-31,659,647,-12
1102,S-94cfff,A-439b2f,2024-04-16,2024-05-18,Pro,22,0,0,True,False,False,True,annual,True,U-6f4e83,2024-06-20,feature_24,5,2560,0,False,42.666666666666664,T-dd8c7f,2024-01-23,2024-01-24 06:00:00,30.0,urgent,66,0.0,False,2024-12-31,659,648,-11
1116,S-f49e0b,A-7f6b86,2024-01-21,2024-03-21,Pro,45,2205,26460,False,True,False,True,annual,True,U-408525,2023-04-05,feature_21,16,4496,0,False,74.93333333333334,T-bb7fa9,2024-09-17,2024-09-19 09:00:00,57.0,high,81,4.0,False,2024-12-31,659,656,-3
1117,S-f49e0b,A-7f6b86,2024-01-21,2024-03-21,Pro,45,2205,26460,False,True,False,True,annual,True,U-408525,2023-04-05,feature_21,16,4496,0,False,74.93333333333334,T-45239b,2024-10-28,2024-10-30 17:00:00,65.0,high,29,0.0,False,2024-12-31,659,657,-2
1119,S-f49e0b,A-7f6b86,2024-01-21,2024-03-21,Pro,45,2205,26460,False,True,False,True,annual,True,U-408525,2023-04-05,feature_21,16,4496,0,False,74.93333333333334,T-c18da8,2024-07-19,2024-07-19 02:00:00,2.0,high,91,0.0,False,2024-12-31,659,654,-5
1129,S-f243c1,A-e888d1,2024-03-12,2024-12-28,Pro,14,0,0,True,False,False,True,annual,True,U-ab3a89,2024-05-13,feature_26,9,2259,2,False,37.65,T-6db7d8,2023-12-06,2023-12-07 02:00:00,26.0,urgent,68,3.0,False,2024-12-31,659,647,-12
1131,S-f243c1,A-e888d1,2024-03-12,2024-12-28,Pro,14,0,0,True,False,False,True,annual,True,U-ab3a89,2024-05-13,feature_26,9,2259,2,False,37.65,T-0f0bde,2024-09-24,2024-09-26 03:00:00,51.0,medium,168,4.0,False,2024-12-31,659,656,-3
1132,S-f243c1,A-e888d1,2024-03-12,2024-12-28,Pro,14,0,0,True,False,False,True,annual,True,U-ab3a89,2024-05-13,feature_26,9,2259,2,False,37.65,T-970159,2024-02-09,2024-02-10 22:00:00,46.0,urgent,95,0.0,True,2024-12-31,659,649,-10
1133,S-f243c1,A-e888d1,2024-03-12,2024-12-28,Pro,14,0,0,True,False,False,True,annual,True,U-ab3a89,2024-05-13,feature_26,9,2259,2,False,37.65,T-f402a9,2023-12-21,2023-12-22 04:00:00,28.0,high,91,5.0,False,2024-12-31,659,647,-12
1201,S-8a9db8,A-474ad4,2024-11-30,2024-12-07,Enterprise,8,1592,19104,False,False,False,True,annual,True,U-ac8aef,2024-01-09,feature_35,9,2214,4,False,36.9,T-027331,2024-05-03,2024-05-03 18:00:00,18.0,medium,76,5.0,False,2024-12-31,659,652,-7
1212,S-f965de,A-ab438f,2024-10-20,2024-12-18,Pro,64,0,0,True,True,False,True,monthly,True,U-a320a9,2024-08-28,feature_13,12,5088,0,False,84.8,T-35ba6a,2024-03-03,2024-03-03 04:00:00,4.0,urgent,139,3.0,False,2024-12-31,659,650,-9
1213,S-f965de,A-ab438f,2024-10-20,2024-12-18,Pro,64,0,0,True,True,False,True,monthly,True,U-a320a9,2024-08-28,feature_13,12,5088,0,False,84.8,T-d9f5fb,2024-06-28,2024-06-30 15:00:00,63.0,urgent,86,4.0,False,2024-12-31,659,653,-6
1218,S-3ad7c4,A-f17767,2024-01-03,2024-01-28,Pro,11,539,6468,False,True,False,True,monthly,True,U-1bffed,2023-08-02,feature_9,11,2508,0,False,41.8,T-7932c2,2024-01-28,2024-01-28 09:00:00,9.0,urgent,132,5.0,False,2024-12-31,659,648,-11
1224,S-75c1b4,A-5a3eb9,2024-12-10,2024-12-28,Pro,18,882,10584,False,False,False,True,annual,True,U-b960cf,2023-09-01,feature_17,10,350,1,False,5.833333333333333,T-b386f0,2024-04-08,2024-04-08 05:00:00,5.0,medium,129,0.0,False,2024-12-31,659,651,-8
1239,S-d449e1,A-ccabf0,2024-10-15,2024-11-06,Basic,25,0,0,True,False,False,True,annual,True,U-b22092,2024-03-07,feature_24,10,5960,0,False,99.33333333333333,T-7309d6,2024-04-18,2024-04-19 19:00:00,43.0,medium,43,0.0,False,2024-12-31,659,651,-8
1253,S-bdc6b7,A-7f29a7,2024-12-02,2024-12-25,Enterprise,41,8159,97908,False,False,False,True,monthly,False,U-f60512,2024-03-21,feature_2,12,2496,0,False,41.6,T-e44461,2024-07-08,2024-07-09 00:00:00,24.0,urgent,5,4.0,False,2024-12-31,659,654,-5
1291,S-49aa80,A-a45270,2024-12-22,2024-12-30,Pro,3,147,1764,False,False,True,True,monthly,True,U-c2a777,2023-08-06,feature_18,9,5373,0,False,89.55,T-49e4f6,2024-10-22,2024-10-24 09:00:00,57.0,high,46,4.0,False,2024-12-31,659,657,-2
1292,S-49aa80,A-a45270,2024-12-22,2024-12-30,Pro,3,147,1764,False,False,True,True,monthly,True,U-c2a777,2023-08-06,feature_18,9,5373,0,False,89.55,T-19bc1e,2024-02-06,2024-02-08 15:00:00,63.0,high,162,0.0,False,2024-12-31,659,649,-10
1293,S-49aa80,A-a45270,2024-12-22,2024-12-30,Pro,3,147,1764,False,False,True,True,monthly,True,U-c2a777,2023-08-06,feature_18,9,5373,0,False,89.55,T-45bddf,2024-01-01,2024-01-03 21:00:00,69.0,urgent,120,0.0,False,2024-12-31,659,648,-11
1326,S-e1fa5b,A-157070,2024-12-08,2024-12-25,Enterprise,16,3184,38208,False,False,False,True,monthly,True,U-e50278,2024-09-02,feature_36,9,657,0,False,10.95,T-98a84a,2023-12-20,2023-12-21 18:00:00,42.0,low,26,0.0,False,2024-12-31,659,647,-12
1356,S-0f0d3a,A-ad296b,2024-11-16,2024-11-20,Basic,38,722,8664,False,False,False,True,annual,True,U-ddcbdc,2023-03-22,feature_39,2,1036,0,False,17.266666666666666,T-ef0a78,2024-09-09,2024-09-10 14:00:00,38.0,medium,81,3.0,False,2024-12-31,659,656,-3
1370,S-c15fcc,A-fd9422,2024-08-25,2024-10-02,Basic,58,1102,13224,False,False,False,True,monthly,False,U-0f77f4,2023-06-04,feature_16,13,5369,0,False,89.48333333333333,T-5b26fc,2024-03-30,2024-03-31 06:00:00,30.0,medium,47,3.0,False,2024-12-31,659,650,-9
1372,S-c15fcc,A-fd9422,2024-08-25,2024-10-02,Basic,58,1102,13224,False,False,False,True,monthly,False,U-0f77f4,2023-06-04,feature_16,13,5369,0,False,89.48333333333333,T-01dc5a,2024-03-10,2024-03-12 22:00:00,70.0,urgent,115,4.0,True,2024-12-31,659,650,-9
1374,S-c15fcc,A-fd9422,2024-08-25,2024-10-02,Basic,58,1102,13224,False,False,False,True,monthly,False,U-0f77f4,2023-06-04,feature_16,13,5369,0,False,89.48333333333333,T-6f6f56,2024-03-18,2024-03-20 06:00:00,54.0,low,157,3.0,False,2024-12-31,659,650,-9
1375,S-c15fcc,A-fd9422,2024-08-25,2024-10-02,Basic,58,1102,13224,False,False,False,True,monthly,False,U-0f77f4,2023-06-04,feature_16,13,5369,0,False,89.48333333333333,T-512f1f,2023-12-05,2023-12-06 13:00:00,37.0,high,141,3.0,False,2024-12-31,659,647,-12
1400,S-2fe253,A-1f0636,2024-02-28,2024-10-30,Pro,105,0,0,True,False,False,True,annual,True,U-796100,2024-09-16,feature_2,13,4589,0,False,76.48333333333333,T-464084,2024-04-27,2024-04-29 12:00:00,60.0,high,82,4.0,False,2024-12-31,659,651,-8
1401,S-2fe253,A-1f0636,2024-02-28,2024-10-30,Pro,105,0,0,True,False,False,True,annual,True,U-796100,2024-09-16,feature_2,13,4589,0,False,76.48333333333333,T-c2f40f,2024-08-22,2024-08-22 17:00:00,17.0,high,68,3.0,False,2024-12-31,659,655,-4
1416,S-dfa4c8,A-eb7fac,2024-01-21,2024-04-22,Pro,7,343,4116,False,False,False,True,annual,True,U-782e04,2024-11-17,feature_29,14,7210,0,False,120.16666666666667,T-67bfa4,2024-04-23,2024-04-24 13:00:00,37.0,urgent,75,4.0,False,2024-12-31,659,651,-8
1418,S-dfa4c8,A-eb7fac,2024-01-21,2024-04-22,Pro,7,343,4116,False,False,False,True,annual,True,U-782e04,2024-11-17,feature_29,14,7210,0,False,120.16666666666667,T-b2925a,2024-01-15,2024-01-17 23:00:00,71.0,low,172,0.0,False,2024-12-31,659,648,-11
1467,S-de9ce0,A-faa28c,2024-08-06,2024-12-26,Enterprise,48,9552,114624,False,False,False,True,annual,True,U-ac502f,2024-08-09,feature_25,13,4914,0,False,81.9,T-37f2cf,2024-05-29,2024-05-30 17:00:00,41.0,urgent,127,5.0,True,2024-12-31,659,652,-7
1468,S-de9ce0,A-faa28c,2024-08-06,2024-12-26,Enterprise,48,9552,114624,False,False,False,True,annual,True,U-ac502f,2024-08-09,feature_25,13,4914,0,False,81.9,T-5ef304,2024-01-18,2024-01-19 20:00:00,44.0,low,139,4.0,False,2024-12-31,659,648,-11
1470,S-de9ce0,A-faa28c,2024-08-06,2024-12-26,Enterprise,48,9552,114624,False,False,False,True,annual,True,U-ac502f,2024-08-09,feature_25,13,4914,0,False,81.9,T-20af37,2024-10-30,2024-11-01 06:00:00,54.0,low,174,0.0,False,2024-12-31,659,657,-2
1484,S-37b59a,A-2d1036,2024-09-24,2024-12-18,Pro,69,3381,40572,False,False,False,True,annual,True,U-abe257,2023-11-24,feature_23,8,2912,0,True,48.53333333333333,T-d6da92,2024-11-30,2024-11-30 07:00:00,7.0,urgent,83,5.0,False,2024-12-31,659,658,-1
1485,S-37b59a,A-2d1036,2024-09-24,2024-12-18,Pro,69,3381,40572,False,False,False,True,annual,True,U-abe257,2023-11-24,feature_23,8,2912,0,True,48.53333333333333,T-217098,2024-06-17,2024-06-19 02:00:00,50.0,low,8,5.0,False,2024-12-31,659,653,-6
1486,S-37b59a,A-2d1036,2024-09-24,2024-12-18,Pro,69,3381,40572,False,False,False,True,annual,True,U-abe257,2023-11-24,feature_23,8,2912,0,True,48.53333333333333,T-1a19ef,2024-09-19,2024-09-19 20:00:00,20.0,medium,98,5.0,True,2024-12-31,659,656,-3
1564,S-506cbd,A-9c18c4,2023-08-29,2024-02-22,Enterprise,19,3781,45372,False,False,False,True,annual,False,U-2ee9e8,2024-12-07,feature_14,1,138,0,False,2.3,T-10a089,2024-04-22,2024-04-24 08:00:00,56.0,high,165,0.0,False,2024-12-31,659,651,-8
1579,S-d32441,A-781cc0,2024-09-19,2024-11-24,Enterprise,12,2388,28656,False,False,False,True,annual,True,U-3ef339,2024-09-03,feature_23,11,3080,0,False,51.333333333333336,T-bde8aa,2024-08-01,2024-08-02 07:00:00,31.0,high,133,0.0,False,2024-12-31,659,655,-4
1580,S-d32441,A-781cc0,2024-09-19,2024-11-24,Enterprise,12,2388,28656,False,False,False,True,annual,True,U-3ef339,2024-09-03,feature_23,11,3080,0,False,51.333333333333336,T-274cf7,2024-01-28,2024-01-30 23:00:00,71.0,low,9,3.0,False,2024-12-31,659,648,-11
1581,S-d32441,A-781cc0,2024-09-19,2024-11-24,Enterprise,12,2388,28656,False,False,False,True,annual,True,U-3ef339,2024-09-03,feature_23,11,3080,0,False,51.333333333333336,T-f45502,2024-08-17,2024-08-19 16:00:00,64.0,high,120,5.0,False,2024-12-31,659,655,-4
1587,S-bdf8bf,A-cdf020,2023-12-01,2024-09-23,Pro,31,1519,18228,False,False,False,True,monthly,True,U-6af318,2024-09-04,feature_19,11,6446,0,False,107.43333333333334,T-2f8785,2023-12-26,2023-12-26 02:00:00,2.0,low,121,5.0,False,2024-12-31,659,647,-12
1590,S-bdf8bf,A-cdf020,2023-12-01,2024-09-23,Pro,31,1519,18228,False,False,False,True,monthly,True,U-6af318,2024-09-04,feature_19,11,6446,0,False,107.43333333333334,T-22afc4,2024-04-13,2024-04-14 11:00:00,35.0,urgent,3,4.0,False,2024-12-31,659,651,-8
1612,S-9b12da,A-702032,2024-12-13,2024-12-21,Pro,28,1372,16464,False,False,False,True,annual,True,U-1c7a4c,2024-10-26,feature_10,13,2795,0,False,46.583333333333336,T-ff4462,2024-07-23,2024-07-23 03:00:00,3.0,high,140,0.0,False,2024-12-31,659,654,-5
1613,S-9b12da,A-702032,2024-12-13,2024-12-21,Pro,28,1372,16464,False,False,False,True,annual,True,U-1c7a4c,2024-10-26,feature_10,13,2795,0,False,46.583333333333336,T-519f79,2024-07-09,2024-07-09 13:00:00,13.0,low,176,3.0,False,2024-12-31,659,654,-5
1636,S-e6cfc1,A-1e6fc3,2024-01-11,2024-04-02,Basic,1,0,0,True,False,False,True,annual,True,U-48a215,2023-10-05,feature_14,9,1323,0,False,22.05,T-da0863,2023-12-30,2023-12-30 22:00:00,22.0,high,2,5.0,False,2024-12-31,659,647,-12
1637,S-e6cfc1,A-1e6fc3,2024-01-11,2024-04-02,Basic,1,0,0,True,False,False,True,annual,True,U-48a215,2023-10-05,feature_14,9,1323,0,False,22.05,T-45e6da,2024-03-08,2024-03-09 09:00:00,33.0,low,120,3.0,False,2024-12-31,659,650,-9
1673,S-704b48,A-a7bd4b,2023-11-15,2024-10-10,Enterprise,15,0,0,True,False,False,True,annual,False,U-9e883a,2023-12-25,feature_14,16,896,0,False,14.933333333333334,T-3f5174,2024-06-07,2024-06-08 18:00:00,42.0,high,98,3.0,False,2024-12-31,659,653,-6
1675,S-704b48,A-a7bd4b,2023-11-15,2024-10-10,Enterprise,15,0,0,True,False,False,True,annual,False,U-9e883a,2023-12-25,feature_14,16,896,0,False,14.933333333333334,T-287662,2024-11-07,2024-11-08 16:00:00,40.0,medium,57,3.0,False,2024-12-31,659,658,-1
1689,S-ad26e3,A-c37601,2024-11-04,2024-12-09,Pro,6,0,0,True,False,False,True,monthly,False,U-5a7fed,2023-08-14,feature_40,16,5856,0,False,97.6,T-e33b60,2024-02-26,2024-02-28 05:00:00,53.0,low,23,3.0,False,2024-12-31,659,649,-10
1697,S-4bfa1d,A-ce550d,2024-12-21,2024-12-30,Pro,35,1715,20580,False,False,False,True,monthly,True,U-57f749,2024-07-25,feature_17,9,5247,0,False,87.45,T-2d4793,2024-02-12,2024-02-12 03:00:00,3.0,urgent,88,0.0,False,2024-12-31,659,649,-10
1699,S-4bfa1d,A-ce550d,2024-12-21,2024-12-30,Pro,35,1715,20580,False,False,False,True,monthly,True,U-57f749,2024-07-25,feature_17,9,5247,0,False,87.45,T-fb84f7,2024-10-25,2024-10-27 21:00:00,69.0,medium,90,5.0,False,2024-12-31,659,657,-2
1700,S-4bfa1d,A-ce550d,2024-12-21,2024-12-30,Pro,35,1715,20580,False,False,False,True,monthly,True,U-57f749,2024-07-25,feature_17,9,5247,0,False,87.45,T-a5de10,2024-06-03,2024-06-04 12:00:00,36.0,medium,98,4.0,False,2024-12-31,659,653,-6
1701,S-4bfa1d,A-ce550d,2024-12-21,2024-12-30,Pro,35,1715,20580,False,False,False,True,monthly,True,U-57f749,2024-07-25,feature_17,9,5247,0,False,87.45,T-0088b7,2024-05-15,2024-05-17 17:00:00,65.0,medium,173,3.0,True,2024-12-31,659,652,-7
1702,S-4bfa1d,A-ce550d,2024-12-21,2024-12-30,Pro,35,1715,20580,False,False,False,True,monthly,True,U-57f749,2024-07-25,feature_17,9,5247,0,False,87.45,T-5cf4eb,2024-06-15,2024-06-15 18:00:00,18.0,high,169,4.0,False,2024-12-31,659,653,-6
1740,S-8ff318,A-e7beab,2024-12-23,2024-12-29,Pro,5,245,2940,False,False,False,True,monthly,True,U-117fde,2023-06-08,feature_37,13,7241,2,False,120.68333333333334,T-0de7f1,2024-09-22,2024-09-23 01:00:00,25.0,low,172,0.0,False,2024-12-31,659,656,-3
1775,S-0509b8,A-e351e1,2024-12-26,2024-12-29,Basic,33,627,7524,False,False,False,True,annual,True,U-0d1ed9,2024-10-26,feature_20,9,2718,1,False,45.3,T-9369c9,2024-08-18,2024-08-19 17:00:00,41.0,urgent,51,3.0,False,2024-12-31,659,655,-4
1778,S-0509b8,A-e351e1,2024-12-26,2024-12-29,Basic,33,627,7524,False,False,False,True,annual,True,U-0d1ed9,2024-10-26,feature_20,9,2718,1,False,45.3,T-2cb775,2024-10-04,2024-10-04 02:00:00,2.0,low,101,4.0,False,2024-12-31,659,657,-2
1799,S-7da02b,A-f44180,2023-05-20,2023-12-19,Enterprise,89,17711,212532,False,False,False,True,annual,True,U-615b73,2023-11-27,feature_22,15,5295,1,False,88.25,T-5daa6c,2024-04-28,2024-04-29 08:00:00,32.0,low,157,5.0,False,2024-12-31,659,651,-8
1800,S-7da02b,A-f44180,2023-05-20,2023-12-19,Enterprise,89,17711,212532,False,False,False,True,annual,True,U-615b73,2023-11-27,feature_22,15,5295,1,False,88.25,T-ebb763,2024-04-08,2024-04-10 13:00:00,61.0,urgent,89,5.0,False,2024-12-31,659,651,-8
1808,S-aba835,A-5b1bcd,2023-09-23,2024-11-02,Basic,73,1387,16644,False,False,False,True,annual,True,U-870d66,2024-01-13,feature_5,9,3519,0,False,58.65,T-e65eaf,2024-09-06,2024-09-07 19:00:00,43.0,urgent,14,0.0,False,2024-12-31,659,656,-3
1809,S-aba835,A-5b1bcd,2023-09-23,2024-11-02,Basic,73,1387,16644,False,False,False,True,annual,True,U-870d66,2024-01-13,feature_5,9,3519,0,False,58.65,T-706e49,2024-03-16,2024-03-18 10:00:00,58.0,low,124,0.0,False,2024-12-31,659,650,-9
1810,S-aba835,A-5b1bcd,2023-09-23,2024-11-02,Basic,73,1387,16644,False,False,False,True,annual,True,U-870d66,2024-01-13,feature_5,9,3519,0,False,58.65,T-fb779c,2024-04-09,2024-04-11 19:00:00,67.0,urgent,89,4.0,False,2024-12-31,659,651,-8
1867,S-d6d433,A-5247b3,2024-06-14,2024-11-19,Basic,16,0,0,True,False,False,True,annual,True,U-412a71,2024-10-18,feature_17,10,3590,0,False,59.833333333333336,T-60c481,2024-07-29,2024-07-31 09:00:00,57.0,urgent,131,4.0,False,2024-12-31,659,654,-5
1869,S-d6d433,A-5247b3,2024-06-14,2024-11-19,Basic,16,0,0,True,False,False,True,annual,True,U-412a71,2024-10-18,feature_17,10,3590,0,False,59.833333333333336,T-ddf662,2024-01-14,2024-01-15 09:00:00,33.0,high,66,0.0,False,2024-12-31,659,648,-11
1870,S-d6d433,A-5247b3,2024-06-14,2024-11-19,Basic,16,0,0,True,False,False,True,annual,True,U-412a71,2024-10-18,feature_17,10,3590,0,False,59.833333333333336,T-b3cd04,2024-09-08,2024-09-10 16:00:00,64.0,medium,51,5.0,False,2024-12-31,659,656,-3
1893,S-5ed35a,A-32fb14,2024-03-16,2024-04-21,Basic,47,893,10716,False,False,False,True,monthly,True,U-ce7037,2024-05-25,feature_31,4,1200,0,False,20.0,T-9ff2ab,2024-05-27,2024-05-27 17:00:00,17.0,urgent,10,0.0,False,2024-12-31,659,652,-7
1894,S-5ed35a,A-32fb14,2024-03-16,2024-04-21,Basic,47,893,10716,False,False,False,True,monthly,True,U-ce7037,2024-05-25,feature_31,4,1200,0,False,20.0,T-eb97d9,2024-07-22,2024-07-22 21:00:00,21.0,urgent,115,0.0,False,2024-12-31,659,654,-5
1895,S-5ed35a,A-32fb14,2024-03-16,2024-04-21,Basic,47,893,10716,False,False,False,True,monthly,True,U-ce7037,2024-05-25,feature_31,4,1200,0,False,20.0,T-b123d2,2024-09-05,2024-09-05 07:00:00,7.0,low,89,4.0,False,2024-12-31,659,656,-3
1896,S-5ed35a,A-32fb14,2024-03-16,2024-04-21,Basic,47,893,10716,False,False,False,True,monthly,True,U-ce7037,2024-05-25,feature_31,4,1200,0,False,20.0,T-dba043,2024-06-17,2024-06-19 14:00:00,62.0,urgent,60,5.0,False,2024-12-31,659,653,-6
1922,S-02be35,A-e08cd3,2024-10-01,2024-12-21,Pro,67,3283,39396,False,False,False,True,monthly,True,U-bc0b32,2023-03-26,feature_12,16,3632,0,False,60.53333333333333,T-fb59aa,2024-04-29,2024-04-29 14:00:00,14.0,high,96,0.0,False,2024-12-31,659,651,-8
2082,S-8c767b,A-b07b56,2024-12-03,2024-12-09,Enterprise,29,0,0,True,False,False,True,monthly,True,U-47245c,2023-11-08,feature_32,11,3509,2,False,58.483333333333334,T-89a21e,2024-10-30,2024-11-01 07:00:00,55.0,high,113,0.0,False,2024-12-31,659,657,-2
2095,S-8013f6,A-6a7c9d,2024-12-11,2024-12-20,Basic,47,893,10716,False,False,False,True,monthly,True,U-4894c7,2023-11-11,feature_28,8,1328,1,False,22.133333333333333,T-990f20,2024-08-15,2024-08-16 04:00:00,28.0,medium,42,3.0,False,2024-12-31,659,655,-4
2096,S-8013f6,A-6a7c9d,2024-12-11,2024-12-20,Basic,47,893,10716,False,False,False,True,monthly,True,U-4894c7,2023-11-11,feature_28,8,1328,1,False,22.133333333333333,T-a32dd4,2024-04-27,2024-04-28 03:00:00,27.0,high,13,0.0,False,2024-12-31,659,651,-8
2098,S-dcd084,A-d27f50,2024-12-05,2024-12-09,Enterprise,48,9552,114624,False,False,False,True,annual,True,U-6880c2,2023-06-30,feature_10,14,238,0,False,3.966666666666667,T-fd1ba2,2023-12-15,2023-12-16 16:00:00,40.0,high,158,4.0,False,2024-12-31,659,647,-12
2099,S-dcd084,A-d27f50,2024-12-05,2024-12-09,Enterprise,48,9552,114624,False,False,False,True,annual,True,U-6880c2,2023-06-30,feature_10,14,238,0,False,3.966666666666667,T-475284,2024-04-13,2024-04-13 15:00:00,15.0,low,99,3.0,False,2024-12-31,659,651,-8
2100,S-dcd084,A-d27f50,2024-12-05,2024-12-09,Enterprise,48,9552,114624,False,False,False,True,annual,True,U-6880c2,2023-06-30,feature_10,14,238,0,False,3.966666666666667,T-73bcc4,2024-05-01,2024-05-02 11:00:00,35.0,medium,108,5.0,False,2024-12-31,659,652,-7
2118,S-8bfab5,A-af0cd2,2024-05-30,2024-12-14,Pro,19,931,11172,False,False,False,True,monthly,True,U-f9c641,2024-06-29,feature_3,6,966,1,False,16.1,T-4dd126,2024-06-27,2024-06-28 12:00:00,36.0,medium,123,0.0,False,2024-12-31,659,653,-6
2119,S-8bfab5,A-af0cd2,2024-05-30,2024-12-14,Pro,19,931,11172,False,False,False,True,monthly,True,U-f9c641,2024-06-29,feature_3,6,966,1,False,16.1,T-9bb199,2024-04-23,2024-04-25 21:00:00,69.0,urgent,152,0.0,False,2024-12-31,659,651,-8
2148,S-0a70a3,A-5b051a,2024-10-21,2024-12-24,Basic,22,418,5016,False,False,False,True,annual,True,U-367adb,2023-01-04,feature_20,9,4941,0,False,82.35,T-52a57e,2024-03-24,2024-03-24 02:00:00,2.0,urgent,2,3.0,False,2024-12-31,659,650,-9
2150,S-de543d,A-1e50e0,2023-04-25,2024-01-13,Enterprise,19,0,0,True,False,False,True,annual,True,U-6d7d29,2023-10-23,feature_18,9,5130,0,False,85.5,T-7b7a5a,2024-10-02,2024-10-02 19:00:00,19.0,high,170,5.0,True,2024-12-31,659,657,-2
